carName,model,year,sellingPrice,condition,mileage,driven,fuel
Toyota Innova,EX,2021,789334,Fair,10.68,119650,Petrol
Ford Ecosport,XZ+,2022,1036030,Good,13.01,167674,Electric
Honda City,ZX,2005,164945,Fair,18.32,178967,Diesel
Maruti Suzuki Swift,HTX,2005,1900348,Good,14.47,90450,Petrol
Maruti Suzuki Swift,VDI,2023,1806292,Good,11.89,173223,Electric
Hyundai Creta,HTX,2006,1593023,Excellent,15.21,100049,Petrol
Honda City,EX,2020,1464154,Excellent,20.95,165517,Electric
Honda City,ZX,2014,1202319,Good,22.92,120005,Diesel
Ford Ecosport,XZ+,2008,1349796,Good,17.88,64172,Electric
Kia Seltos,Titanium,2016,1715635,Fair,15.99,110011,CNG
Toyota Innova,EX,2023,165177,Needs Work,11.7,152918,Petrol
Hyundai Creta,XZ+,2015,1640979,Good,13.11,140345,Petrol
Kia Seltos,Titanium,2021,1149057,Fair,14.93,182983,CNG
Mahindra Scorpio,S10,2008,1079682,Needs Work,14.15,115356,Diesel
Toyota Innova,Crysta,2018,180302,Needs Work,16.9,116445,Diesel
Tata Nexon,Crysta,2011,1652986,Needs Work,10.18,83525,Diesel
Maruti Suzuki Swift,Crysta,2011,1262066,Needs Work,18.67,37811,Electric
Ford Ecosport,VDI,2022,1246424,Good,11.36,32321,CNG
Mahindra Scorpio,HTX,2016,1627482,Excellent,11.58,140002,CNG
Tata Nexon,ZX,2014,744501,Good,18.67,163356,Petrol
Honda City,XZ+,2021,172636,Good,23.31,160015,Petrol
Toyota Innova,Crysta,2015,710432,Needs Work,24.92,50780,Electric
Ford Ecosport,EX,2015,1023185,Excellent,22.79,62505,Electric
Ford Ecosport,ZX,2015,1461802,Excellent,14.38,84075,CNG
Toyota Innova,HTX,2021,1137631,Needs Work,13.38,39927,Diesel
Toyota Innova,VDI,2017,1689572,Good,23.21,36529,Electric
Toyota Innova,EX,2009,491718,Needs Work,10.95,17338,CNG
Tata Nexon,S10,2014,1348717,Needs Work,20.1,164409,Diesel
Maruti Suzuki Swift,ZX,2016,1593664,Needs Work,20.31,121810,CNG
Honda City,Crysta,2009,1451281,Fair,12.84,49004,Electric
Maruti Suzuki Swift,EX,2014,1422676,Excellent,14.06,92596,Petrol
Maruti Suzuki Swift,VDI,2012,1113790,Needs Work,14.92,137861,Diesel
Mahindra Scorpio,EX,2008,1635842,Good,18.7,189147,CNG
Toyota Innova,XZ+,2018,1515225,Good,16.17,10204,Electric
Kia Seltos,Crysta,2010,731864,Excellent,10.48,131461,Diesel
Mahindra Scorpio,Titanium,2013,234231,Fair,17.65,82670,Electric
Ford Ecosport,VDI,2008,1314671,Fair,20.49,49777,CNG
Kia Seltos,Titanium,2014,1992037,Needs Work,11.78,163706,Petrol
Maruti Suzuki Swift,ZX,2021,1735232,Excellent,20.47,189773,Electric
Ford Ecosport,ZX,2008,856250,Fair,20.22,105596,Petrol
Honda City,EX,2013,762618,Excellent,16.87,184691,Diesel
Kia Seltos,ZX,2015,840514,Needs Work,22.25,125660,Electric
Maruti Suzuki Swift,Crysta,2022,562265,Needs Work,12.35,87888,Electric
Maruti Suzuki Swift,S10,2020,141040,Needs Work,10.4,119373,CNG
Ford Ecosport,ZX,2015,1543654,Excellent,12.23,122173,Diesel
Maruti Suzuki Swift,VDI,2006,1455140,Good,12.28,139464,Electric
Ford Ecosport,S10,2008,1143130,Excellent,15.81,197939,CNG
Tata Nexon,HTX,2009,523811,Excellent,14.84,154920,Electric
Tata Nexon,Crysta,2007,1071462,Good,15.32,168759,CNG
Mahindra Scorpio,HTX,2014,158427,Needs Work,23.34,72942,CNG
Kia Seltos,XZ+,2021,353387,Needs Work,15.23,137235,Petrol
Honda City,Crysta,2011,609240,Good,16.43,10196,Petrol
Hyundai Creta,HTX,2020,1283419,Excellent,10.56,161218,Petrol
Hyundai Creta,ZX,2017,1431557,Needs Work,18.81,43391,CNG
Kia Seltos,EX,2017,190384,Fair,24.18,141009,CNG
Mahindra Scorpio,ZX,2007,1962511,Excellent,11.82,41221,Electric
Toyota Innova,Titanium,2018,995203,Good,14.63,108143,Electric
Honda City,EX,2018,1081996,Excellent,12.8,167574,Diesel
Hyundai Creta,EX,2007,359429,Good,13.85,68283,Diesel
Hyundai Creta,Crysta,2020,1724623,Fair,19.06,113966,CNG
Mahindra Scorpio,HTX,2006,357318,Excellent,23.5,176688,Electric
Tata Nexon,Titanium,2022,376485,Needs Work,11.82,11583,Diesel
Kia Seltos,VDI,2007,856031,Needs Work,14.64,159777,Electric
Toyota Innova,EX,2009,1916059,Needs Work,21.34,75037,Electric
Hyundai Creta,Titanium,2020,825599,Fair,12.49,113896,CNG
Mahindra Scorpio,Titanium,2016,100119,Needs Work,17.3,54629,Petrol
Honda City,Titanium,2015,1293312,Needs Work,20.29,102395,Petrol
Hyundai Creta,HTX,2016,1377423,Needs Work,12.64,118498,Petrol
Honda City,EX,2016,1556647,Needs Work,15.95,136539,Diesel
Ford Ecosport,VDI,2010,1725796,Fair,22.3,124769,Petrol
Hyundai Creta,Crysta,2011,253011,Good,14.68,165925,CNG
Tata Nexon,ZX,2016,159324,Good,13.02,175867,Diesel
Kia Seltos,VDI,2013,1237753,Good,15.72,116755,CNG
Tata Nexon,S10,2008,584839,Fair,10.36,8306,CNG
Mahindra Scorpio,ZX,2010,1230690,Needs Work,24.21,167870,CNG
Maruti Suzuki Swift,EX,2013,624782,Needs Work,14.94,27343,Electric
Toyota Innova,XZ+,2018,1535106,Excellent,11.9,89258,Diesel
Mahindra Scorpio,VDI,2008,1993183,Fair,11.95,171201,Petrol
Hyundai Creta,EX,2010,1449793,Needs Work,14.08,109817,Electric
Kia Seltos,EX,2016,836789,Good,12.01,119575,Electric
Toyota Innova,HTX,2010,1653236,Needs Work,13.59,93031,Petrol
Mahindra Scorpio,Titanium,2008,1543161,Excellent,13.59,167675,Diesel
Kia Seltos,Titanium,2007,1870027,Good,13.18,35659,Diesel
Hyundai Creta,XZ+,2017,493214,Needs Work,13.79,117610,CNG
Toyota Innova,HTX,2020,1281813,Good,24.65,159145,Diesel
Maruti Suzuki Swift,S10,2018,553458,Excellent,21.29,59526,CNG
Tata Nexon,S10,2007,1601849,Excellent,24.37,7948,CNG
Tata Nexon,EX,2007,277475,Good,16.8,41079,Electric
Mahindra Scorpio,EX,2016,1484245,Needs Work,13.1,114278,Electric
Ford Ecosport,HTX,2015,1944319,Fair,23.81,35505,Petrol
Maruti Suzuki Swift,HTX,2015,1860286,Needs Work,10.92,63772,Diesel
Mahindra Scorpio,HTX,2016,279623,Good,19.93,37558,CNG
Maruti Suzuki Swift,S10,2009,1414911,Excellent,20.9,124575,Diesel
Kia Seltos,VDI,2021,119801,Needs Work,12.09,75862,Petrol
Tata Nexon,Crysta,2005,788115,Fair,17.02,170155,Electric
Honda City,S10,2019,919789,Excellent,17.56,30438,Electric
Hyundai Creta,S10,2022,529266,Good,20.87,101662,CNG
Hyundai Creta,Crysta,2008,1153698,Excellent,19.28,108810,Diesel
Honda City,ZX,2013,997914,Good,12.28,164810,CNG
Ford Ecosport,HTX,2021,1999941,Good,20.89,63956,Petrol
Toyota Innova,Crysta,2009,250183,Needs Work,18.87,47255,Diesel
Ford Ecosport,VDI,2022,1930774,Needs Work,23.59,94280,Diesel
Ford Ecosport,Titanium,2008,115368,Needs Work,13.49,164409,Petrol
Tata Nexon,HTX,2009,995492,Good,23.91,127232,Diesel
Tata Nexon,XZ+,2007,609307,Excellent,19.89,137532,CNG
Toyota Innova,S10,2008,1436237,Needs Work,24.29,86513,Petrol
Tata Nexon,Titanium,2016,733416,Good,21.3,187660,CNG
Mahindra Scorpio,S10,2014,349950,Good,12.82,18730,Petrol
Mahindra Scorpio,Titanium,2010,1417451,Needs Work,18.49,90782,CNG
Tata Nexon,Crysta,2012,1463042,Excellent,14.16,121579,Electric
